,May I take it that the assembly wishes to take note of those items that remain open for consideration,The agenda was adopted,Amend the agenda to,I have been authorized to make the following statement on behalf of the assembly,Refer the matter,Report of the Committee,Point of Order,Right of reply,To adjourn the debate,May I take it that it is the wish of the General Assembly to conclude its consideration,To suspend the meeting,To adjourn the meeting,To introduce a draft amendment to the draft resolution,The Assembly will now take a decision on draft resolution,Objection to consideration of the question,To withdraw,Reconsideration of the,Appoint a Committee,A recorded vote has been requested,A paragraph-by-paragraph vote on the draft resolution,Sanctions,Peacekeeping,Peacemaking,The draft resolution was adopted,meeting,date
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,A_66_PV.46-EN,2012
1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_66_PV-66-EN,2012
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.2_57_SR.45-EN,2003
3,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,3,1,A_C.1_50_PV.16-EN,1995
4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.5_62_SR.8-EN,2007
5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.3_66_SR.27-EN,2012
6,0,1,0,0,0,5,0,1,0,1,0,0,0,9,0,0,0,0,6,0,0,0,0,2,A_63_PV-60-EN,2008
7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.5_61_SR.7-EN,2006
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,A_58_PV.17-EN,2003
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_66_PV.18-EN,2011
10,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0,5,0,0,0,0,A_C.2_67_SR.38-EN,2013
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C-2_67_SR-4-EN,2013
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.5_48_SR.41-EN,1994
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,A_C.2_74_SR.8-EN,2019
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,A_C.6_66_SR.6-EN,2011
15,0,0,0,0,1,2,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,A_57_PV-94-EN,2003
16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,A_58_PV.87-EN,2004
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_62_PV.82-EN,2008
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_AC.96_SR.553-EN,2001
19,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19,0,0,0,A_48_PV.78-EN,1994
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.2_56_SR.34-EN,2001
