,dates,Class M,Class S,Class I,Class P,Policy Passed,Conflict Indicator,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,2017,1,0,0,0,0,1,6647.0,98.36,71.97,22.23,70.5,26.48,31.31,77.43,45.63,6.38,2.77,0.63,1.17,0.08,0.2,0.69,3.61,11.37,16.7,4.9,2.17,4.96,0.5,8.02,4.65,1.58,0.62,2.63,1.26,5.31,3.84,1.46,0.2,0.68,0.18,6.85,0.0,0.14,0.06,0.23,7.13,1.53,1.73,1.25,0.75,1.16,1.14,0.69,0.38,0.23,0.03,0.53,0.12,0.29,0.0,0.12,11.0,2.98,1.93,4.57,0.8,1.49,1.76,5.61,0.87,14.55,1.61,9.19,3.81,5.6,0.51,0.18,0.26,0.06,0.12,0.3,0.0,0.15,0.02,0.14,0.0,20.43,12.2,4.23,0.09,0.03,0.0,0.0,1.35,0.14,0.39,1.11,0.89
1,2013,1,0,0,1,0,1,22867.0,97.08,70.99,19.29,11.75,23.75,36.34,79.7,44.04,6.72,2.93,0.57,1.6,0.09,0.18,0.49,3.79,9.06,16.54,4.67,2.19,5.94,0.51,7.15,4.05,1.95,0.62,1.83,1.53,9.59,4.23,5.31,3.56,1.24,0.22,6.59,0.03,0.11,0.12,0.12,8.77,2.35,2.12,1.24,0.72,1.66,1.67,0.59,0.23,0.2,0.12,0.68,0.26,0.29,0.0,0.13,15.28,3.48,2.91,7.3,1.26,1.72,1.13,5.65,0.49,12.63,1.2,8.76,2.61,5.58,0.28,0.17,0.59,0.3,0.13,0.2,0.0,0.08,0.03,0.09,0.0,14.47,6.64,4.83,0.06,0.05,0.01,0.0,1.49,0.04,0.42,0.66,0.27
2,2018,1,0,0,0,0,1,8394.0,98.4,76.05,13.66,91.35,25.99,31.43,78.15,46.06,7.15,3.47,1.18,1.11,0.01,0.24,0.93,3.68,10.88,17.61,4.46,2.1,5.04,0.43,8.35,3.63,1.8,0.55,3.65,1.97,5.53,4.74,0.71,0.15,0.24,0.04,8.6,0.0,0.13,0.04,0.2,7.49,2.48,1.36,1.27,0.92,1.25,1.04,0.75,0.25,0.33,0.1,0.56,0.31,0.14,0.02,0.08,10.96,3.76,3.06,2.84,1.02,1.2,1.85,5.68,0.79,11.25,1.19,6.8,3.48,7.56,0.43,0.08,0.51,0.04,0.01,0.38,0.0,0.19,0.07,0.12,0.0,17.68,10.03,4.21,0.11,0.11,0.04,0.0,0.67,0.02,0.41,1.44,0.66
3,2016,1,0,1,0,0,0,22044.0,96.04,72.47,20.26,37.49,23.75,26.91,79.97,47.55,7.94,3.8,1.14,1.4,0.08,0.28,0.89,4.14,10.35,16.03,5.99,2.79,5.3,0.73,10.07,4.19,2.02,0.94,2.79,1.73,6.81,3.69,3.03,0.48,1.14,0.63,8.11,0.17,0.1,0.12,0.34,8.15,1.48,1.67,1.47,1.08,1.65,1.73,1.05,0.48,0.34,0.18,1.33,0.25,0.71,0.0,0.42,10.22,2.94,1.83,4.1,0.9,1.31,2.4,6.76,0.82,13.4,1.24,8.35,3.85,4.13,0.76,0.14,0.65,0.2,0.44,0.39,0.0,0.26,0.04,0.08,0.0,14.28,6.91,4.38,0.09,0.15,0.05,0.0,1.07,0.1,0.64,0.37,0.54
4,1995,1,0,0,0,0,0,446.0,99.0,74.23,16.88,55.35,13.52,29.82,71.75,39.24,4.26,0.67,0.45,0.0,0.0,0.0,0.22,3.59,13.45,15.25,4.04,0.9,1.35,0.0,6.73,1.57,0.0,0.0,4.48,0.9,6.73,4.04,2.47,0.0,1.35,0.22,7.17,0.0,0.22,0.0,0.22,6.28,2.69,1.35,0.67,0.9,0.9,0.22,1.35,0.22,1.12,0.0,0.0,0.0,0.0,0.0,0.0,9.19,1.35,0.9,4.71,0.45,2.24,2.69,2.47,1.35,12.56,0.9,6.95,4.48,6.28,0.0,0.22,0.22,0.0,1.35,0.45,0.0,0.45,0.0,0.0,0.0,133.41,128.48,1.79,0.67,0.0,0.0,0.0,0.67,0.0,0.22,1.35,0.22
5,2017,1,1,0,0,0,1,8952.0,98.68,66.96,22.44,83.53,28.24,32.74,76.31,45.36,6.65,3.27,1.82,0.71,0.04,0.13,0.56,3.37,10.94,17.67,4.13,1.75,5.33,0.34,7.71,3.97,2.12,0.44,3.95,1.54,5.21,4.18,0.93,0.5,0.26,0.03,6.86,0.0,0.17,0.01,0.15,7.19,2.52,1.39,0.99,0.88,1.05,1.07,0.78,0.38,0.2,0.16,0.79,0.49,0.21,0.03,0.06,9.94,2.71,3.02,3.15,1.15,1.02,2.08,5.13,0.7,12.16,1.06,7.45,3.63,7.1,0.26,0.06,0.19,0.04,0.06,0.23,0.0,0.09,0.01,0.13,0.0,17.85,9.41,4.31,0.16,0.11,0.0,0.0,1.12,0.02,0.41,1.58,0.74
6,2001,1,0,0,1,0,1,20642.0,96.18,69.47,22.23,95.67,25.3,33.11,80.65,46.49,6.91,2.73,0.54,1.4,0.11,0.17,0.51,4.19,10.0,15.98,6.19,2.73,5.7,0.54,9.17,4.21,1.97,0.87,1.13,1.54,6.97,5.82,1.09,0.15,0.36,0.15,6.37,0.01,0.11,0.02,0.2,9.04,2.38,1.52,1.83,1.34,1.5,1.7,0.97,0.43,0.26,0.14,0.84,0.2,0.56,0.0,0.08,9.7,2.65,2.32,3.27,1.24,1.25,1.5,6.6,0.94,13.79,1.25,9.26,3.14,7.04,0.39,0.1,0.7,0.04,0.1,0.31,0.0,0.11,0.05,0.12,0.0,16.57,6.82,4.95,0.14,0.25,0.05,0.0,2.75,0.39,0.26,0.65,0.32
7,2005,1,0,0,0,1,0,702.0,98.53,67.06,18.72,43.98,15.26,30.77,67.66,42.31,5.98,2.14,0.85,0.71,0.0,0.28,0.28,3.85,10.26,16.38,5.27,1.99,2.99,0.57,8.69,2.28,0.57,0.43,2.85,0.57,3.7,2.28,1.28,0.0,0.0,0.14,6.27,0.0,0.0,0.0,0.28,6.98,3.13,0.57,1.14,0.43,1.14,1.14,1.57,0.14,1.28,0.14,0.43,0.14,0.28,0.0,0.0,7.55,1.57,0.28,4.13,1.0,0.85,2.28,4.7,1.14,11.97,1.0,7.83,2.71,5.13,0.28,0.28,0.0,0.0,0.14,0.71,0.0,0.71,0.0,0.0,0.0,94.3,86.18,3.56,0.43,0.0,0.0,0.0,0.71,0.0,0.14,2.42,0.85
8,2011,1,0,0,0,0,0,1470.0,99.0,77.69,13.89,91.25,24.5,33.27,73.2,40.61,3.54,0.75,0.07,0.0,0.07,0.07,0.54,2.79,12.72,17.01,2.18,1.09,4.69,0.27,4.22,4.01,1.22,0.2,2.79,1.16,7.48,5.65,1.63,0.41,0.61,0.0,8.64,0.07,0.0,0.07,0.07,5.78,1.5,1.5,0.61,0.54,1.16,0.75,0.75,0.27,0.48,0.0,0.48,0.0,0.27,0.0,0.2,9.52,1.97,1.16,4.22,0.54,1.9,0.82,2.93,0.88,12.86,1.36,8.84,2.65,7.01,1.29,0.14,0.27,0.0,0.07,0.14,0.0,0.14,0.0,0.0,0.0,49.73,40.07,3.81,0.2,0.41,0.0,0.0,1.43,0.95,0.34,1.7,0.82
9,2013,1,0,0,0,0,1,15879.0,98.55,70.98,20.81,93.55,26.07,32.04,77.02,45.72,6.14,2.67,0.6,1.07,0.03,0.23,0.74,3.47,11.02,17.41,4.58,1.99,5.43,0.38,7.0,3.68,1.39,0.5,2.22,1.44,6.36,5.3,0.96,0.24,0.26,0.13,6.43,0.01,0.11,0.04,0.24,7.04,2.2,1.51,1.03,0.69,1.37,1.02,0.5,0.23,0.16,0.11,0.34,0.08,0.21,0.01,0.06,11.78,3.77,2.63,4.35,0.98,1.15,1.34,5.14,1.2,13.56,0.91,9.09,3.66,5.38,0.46,0.11,0.52,0.66,0.09,0.2,0.0,0.11,0.03,0.07,0.0,14.72,7.79,3.86,0.05,0.07,0.0,0.0,0.87,0.09,0.4,1.2,0.38
