,meetings,dates,May I take it that the assembly wishes to take note of those items that remain open for consideration,The agenda was adopted,appoint a committee,I have been authorized to make the following statement on behalf of the committee,May I take it that the draft report as corrected is adopted by the council,point of order,amendment,A paragraph-by-paragraph vote on the draft resolution,refer the matter,postpone discussion to,postpone discussion indefinitely,The meeting was suspended,the meeting is adjourned,To withdraw the draft resolution,"In conformity with the usual practice, I propose, with consent of the council, to invite those representatives to participate in discussion",It is my understanding that the security council is ready to vote on the draft resolution before it,peacekeeping,peacemaking,sanctions,The draft resolution has been adopted,The draft resolution has not been adopted
0,pdf?symbol=en%2FS%2FPV.7982,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
1,pdf?symbol=en%2FS%2FPV.6900,2013,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,12,0,0
2,pdf?symbol=en%2FS%2FPV.8428,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,41,0,0
3,pdf?symbol=en%2FS%2FPV.7797,2016,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,pdf?symbol=en%2FS%2FPV.3532,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,pdf?symbol=en%2FS%2FPV.8127,2017,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,38,0,0
6,pdf?symbol=en%2FS%2FPV.4272,2001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,61,2,1,0,0
7,pdf?symbol=en%2FS%2FPV.5304,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
8,pdf?symbol=en%2FS%2FPV.6521,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,pdf?symbol=en%2FS%2FPV.6979,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,pdf?symbol=en%2FS%2FPV.6610,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,pdf?symbol=en%2FS%2FPV.7393,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
12,pdf?symbol=en%2FS%2FPV.4511,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,pdf?symbol=en%2FS%2FPV.4867,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14,pdf?symbol=en%2FS%2FPV.6691,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
15,pdf?symbol=en%2FS%2FPV.7624,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,pdf?symbol=en%2FS%2FPV.7239,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,pdf?symbol=en%2FS%2FPV.4538,2002,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,16,3,16,0,0
18,pdf?symbol=en%2FS%2FPV.5138,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,pdf?symbol=en%2FS%2FPV.8640,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,pdf?symbol=en%2FS%2FPV.3897,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21,pdf?symbol=en%2FS%2FPV.4937,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,pdf?symbol=en%2FS%2FPV.8450,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,pdf?symbol=en%2FS%2FPV.7681,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,2,0
24,pdf?symbol=en%2FS%2FPV.5862,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
25,pdf?symbol=en%2FS%2FPV.4930,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,pdf?symbol=en%2FS%2FPV.5623,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,pdf?symbol=en%2FS%2FPV.8055,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,pdf?symbol=en%2FS%2FPV.5013,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29,pdf?symbol=en%2FS%2FPV.5251,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,pdf?symbol=en%2FS%2FPV.6230,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
31,pdf?symbol=en%2FS%2FPV.3421,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,pdf?symbol=en%2FS%2FPV.5180,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0
33,pdf?symbol=en%2FS%2FPV.6450,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,3,0
34,pdf?symbol=en%2FS%2FPV.7641,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,pdf?symbol=en%2FS%2FPV.4165,2000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
36,pdf?symbol=en%2FS%2FPV.3915,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,pdf?symbol=en%2FS%2FPV.3503,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0
38,pdf?symbol=en%2FS%2FPV.4259,2001,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,72,0,0,0,0
39,pdf?symbol=en%2FS%2FPV.4877,2003,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,0,2,0,0
40,pdf?symbol=en%2FS%2FPV.4328,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
41,pdf?symbol=en%2FS%2FPV.5091,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,pdf?symbol=en%2FS%2FPV.4663,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,pdf?symbol=en%2FS%2FPV.6304,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
44,pdf?symbol=en%2FS%2FPV.4225,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0
45,pdf?symbol=en%2FS%2FPV.3459,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,pdf?symbol=en%2FS%2FPV.7640,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
47,pdf?symbol=en%2FS%2FPV.3632,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,pdf?symbol=en%2FS%2FPV.4505,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,pdf?symbol=en%2FS%2FPV.8609,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
50,pdf?symbol=en%2FS%2FPV.4397,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,pdf?symbol=en%2FS%2FPV.6194,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
52,pdf?symbol=en%2FS%2FPV.4242,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0
53,pdf?symbol=en%2FS%2FPV.5323,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,pdf?symbol=en%2FS%2FPV.7036,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,8,1,0
55,pdf?symbol=en%2FS%2FPV.5475,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,pdf?symbol=en%2FS%2FPV.5681,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,pdf?symbol=en%2FS%2FPV.3959,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
58,pdf?symbol=en%2FS%2FPV.5246,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,pdf?symbol=en%2FS%2FPV.7836,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
60,pdf?symbol=en%2FS%2FPV.6616,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,pdf?symbol=en%2FS%2FPV.5300,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
62,pdf?symbol=en%2FS%2FPV.5327,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
63,pdf?symbol=en%2FS%2FPV.3848,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,pdf?symbol=en%2FS%2FPV.7662,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,pdf?symbol=en%2FS%2FPV.7944,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,pdf?symbol=en%2FS%2FPV.8088,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,pdf?symbol=en%2FS%2FPV.4733,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,pdf?symbol=en%2FS%2FPV.3445,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
69,pdf?symbol=en%2FS%2FPV.4624,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,pdf?symbol=en%2FS%2FPV.7231,2014,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,14,0,0
71,pdf?symbol=en%2FS%2FPV.6685,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
72,pdf?symbol=en%2FS%2FPV.3868,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,12,1,0
73,pdf?symbol=en%2FS%2FPV.7072,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0
74,pdf?symbol=en%2FS%2FPV.3845,1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,pdf?symbol=en%2FS%2FPV.8128,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,pdf?symbol=en%2FS%2FPV.6746,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,pdf?symbol=en%2FS%2FPV.4826,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,pdf?symbol=en%2FS%2FPV.3573,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,pdf?symbol=en%2FS%2FPV.3655,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,pdf?symbol=en%2FS%2FPV.5171,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
81,pdf?symbol=en%2FS%2FPV.6751,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0
82,pdf?symbol=en%2FS%2FPV.6884,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
83,pdf?symbol=en%2FS%2FPV.7651,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
84,pdf?symbol=en%2FS%2FPV.5956,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
