,dates,Class M,Class S,Class I,Class P,Policy Passed,Conflict Indicator
0,2017,1,0,0,0,0,1
1,2013,1,0,0,1,0,1
2,2018,1,0,0,0,0,1
3,2016,1,0,1,0,0,0
4,1995,1,0,0,0,0,0
5,2017,1,1,0,0,0,1
6,2001,1,0,0,1,0,1
7,2005,1,0,0,0,1,0
8,2011,1,0,0,0,0,0
9,2013,1,0,0,0,0,1
10,2011,1,0,0,0,0,1
11,2015,1,0,0,0,1,0
12,2002,1,0,0,0,0,0
13,2003,1,0,0,0,1,0
14,2011,1,0,0,0,1,0
15,2016,1,0,0,0,0,0
16,2014,1,0,0,0,0,1
17,2002,1,0,2,1,0,1
18,2005,0,0,0,0,0,0
19,2019,1,0,0,0,1,0
20,1998,1,0,0,0,0,1
21,2004,1,0,0,0,1,0
22,2019,1,0,0,0,0,0
23,2016,1,0,0,0,1,1
24,2008,1,0,0,0,0,1
25,2004,1,0,0,0,0,0
26,2007,0,0,0,0,0,0
27,2017,1,0,0,0,0,1
28,2004,1,0,0,0,1,0
29,2005,1,0,0,0,0,0
30,2009,1,0,0,0,0,1
31,1994,1,0,0,0,0,0
32,2005,1,0,0,0,0,1
33,2010,1,0,0,0,1,1
34,2016,1,0,0,0,0,0
35,2000,1,0,1,0,0,1
36,1998,1,0,0,0,1,0
37,1995,1,0,0,0,0,1
38,2001,1,0,1,1,0,1
39,2003,1,0,0,1,0,1
40,2001,1,0,0,0,1,0
41,2004,1,0,0,0,0,0
42,2002,1,0,0,0,0,0
43,2010,1,0,0,0,1,0
44,2000,1,0,0,0,0,1
45,1994,1,0,0,0,0,0
46,2016,1,0,0,0,0,1
47,1996,1,0,0,0,0,0
48,2002,0,0,0,0,0,0
49,2019,1,0,0,0,0,1
50,2001,0,0,0,0,0,1
51,2009,1,0,0,0,0,1
52,2000,1,0,0,0,0,1
53,2005,1,0,0,0,0,0
54,2013,1,0,0,0,1,1
55,2006,0,0,0,0,0,0
56,2007,1,0,0,0,0,1
57,1998,1,0,0,0,1,0
58,2005,1,0,0,0,1,0
59,2016,1,0,0,0,0,1
60,2011,1,0,0,0,0,1
61,2005,1,0,0,0,1,0
62,2005,1,0,0,0,1,0
63,1998,1,0,0,0,0,0
64,2016,1,0,0,0,0,0
65,2017,1,0,0,0,0,0
66,2017,1,0,0,0,1,0
67,2003,0,0,0,0,0,1
68,1994,1,0,0,0,1,0
69,2002,1,0,0,0,1,0
70,2014,2,0,0,0,0,1
71,2011,1,0,0,0,1,0
72,1998,1,0,0,0,1,1
73,2013,1,0,0,0,1,1
74,1997,1,0,0,0,0,0
75,2017,1,0,0,0,0,0
76,2012,1,0,0,0,0,0
77,2003,1,0,0,0,0,0
78,1995,1,0,0,0,0,0
79,1996,1,0,0,0,0,0
80,2005,1,0,0,0,1,0
81,2012,1,0,0,0,1,1
82,2012,1,0,0,0,1,0
83,2016,1,0,0,0,0,1
84,2008,1,0,0,0,0,1
85,2015,1,0,0,0,0,1
86,2019,1,2,0,0,0,1
87,2001,1,0,0,1,0,1
88,1999,1,0,0,0,1,1
89,2002,1,0,0,0,1,0
90,2010,1,0,0,0,1,0
91,2012,1,0,0,0,0,0
92,1996,1,0,0,0,0,0
93,2006,1,0,0,0,0,1
94,2005,0,0,0,0,0,0
95,2010,1,0,0,1,1,1
96,2017,1,0,0,0,0,1
97,2015,1,0,0,0,1,0
98,2002,0,0,0,0,0,0
99,2005,1,0,0,0,0,0
100,2000,1,0,0,1,0,1
101,2016,1,0,0,0,0,1
102,2002,1,0,0,0,1,0
103,2005,1,0,0,0,0,0
104,1994,1,0,0,0,1,0
105,2016,1,0,0,0,0,1
106,2011,1,0,0,0,0,1
107,2017,1,2,0,1,0,1
108,2004,0,0,0,0,0,0
109,2006,1,0,0,0,0,1
110,2015,1,0,0,0,1,1
111,2013,1,0,0,0,0,0
112,2012,1,0,0,0,0,1
113,2000,1,0,0,0,0,1
114,2001,0,0,0,0,0,0
115,2015,1,0,0,0,1,0
116,2008,1,0,0,0,0,1
117,2006,1,0,0,0,1,0
118,2003,1,0,0,0,1,0
119,2013,1,0,0,0,0,1
120,2003,1,0,0,0,0,1
121,2018,1,0,0,0,0,1
122,1994,1,0,0,0,0,0
123,1998,1,0,0,0,0,1
124,2009,1,0,0,0,0,0
125,2014,1,0,0,0,0,1
126,2000,1,0,0,0,0,1
127,2001,1,0,0,1,0,1
128,2002,1,0,0,0,0,1
129,1997,1,0,0,0,1,1
130,2002,1,0,0,0,0,0
131,2012,1,0,1,0,0,1
132,2002,1,0,0,0,1,0
133,2011,1,0,0,0,0,0
134,2018,1,0,0,0,0,1
135,2015,1,0,0,0,0,1
136,2003,1,0,0,0,1,0
137,2016,1,0,0,0,0,1
138,2016,1,0,0,0,0,1
139,2019,1,0,0,0,1,0
140,2012,1,0,0,0,0,1
141,2005,0,0,0,0,0,1
142,2000,1,0,0,0,0,0
143,2008,1,0,0,0,0,0
144,2000,1,0,0,0,0,1
145,2011,1,0,0,0,1,1
146,2018,1,0,0,0,0,1
147,2008,1,0,0,0,1,0
148,2005,1,0,0,0,0,0
149,2001,1,0,0,1,0,1
150,2006,1,0,0,0,0,0
151,2003,1,0,0,0,0,1
152,2010,1,0,0,0,0,0
153,2019,1,0,0,0,0,1
154,2012,1,0,0,0,0,0
155,1999,1,0,0,0,0,0
156,2003,1,0,0,0,0,0
157,2000,1,0,0,0,1,0
158,2006,0,0,0,0,0,0
159,2014,1,0,0,0,0,0
160,2000,1,0,0,0,0,1
161,2016,1,0,0,0,0,0
162,2010,0,0,0,0,0,0
163,2002,1,0,0,0,1,0
164,2007,0,0,0,0,0,0
165,1997,1,0,0,0,0,0
166,2005,1,0,0,0,1,1
167,2007,0,0,0,0,0,1
168,2002,0,0,0,0,0,0
169,2018,1,0,0,0,0,1
170,2019,1,0,0,0,0,1
171,2018,1,0,0,0,0,1
172,2005,1,0,0,0,1,0
173,2017,1,0,1,0,0,0
174,2009,1,0,0,0,1,1
175,2015,1,0,0,0,0,1
176,2001,1,0,0,0,0,1
177,2006,1,0,0,0,0,0
178,2019,1,0,0,0,0,1
179,2008,1,2,0,0,1,0
180,2015,1,0,0,0,1,1
181,2006,1,0,0,1,0,1
182,2015,1,0,0,0,0,1
183,2014,1,0,0,0,0,0
184,2008,1,0,0,0,1,0
185,2006,1,0,0,0,0,0
186,2019,1,0,0,0,0,0
187,2003,0,0,0,0,0,1
188,1994,1,0,0,0,1,0
189,2011,1,0,0,0,0,1
190,2017,1,0,0,0,0,1
191,2011,1,0,0,0,1,0
192,2010,1,0,0,0,1,0
193,2011,1,0,0,0,0,1
194,2011,1,0,0,0,0,1
195,2017,1,0,0,0,0,0
196,2015,1,0,0,0,1,1
197,2018,1,0,0,0,0,0
198,2015,1,0,0,0,0,0
199,2005,0,0,0,0,0,0
200,2005,1,0,0,0,1,0
201,1995,1,0,0,0,0,0
202,2005,1,0,0,0,1,0
203,2003,1,0,0,0,1,0
204,2016,1,0,0,0,0,0
205,2000,1,0,0,0,0,1
206,2012,1,0,0,0,0,1
207,1995,1,0,0,0,1,1
208,2002,1,0,0,0,1,0
209,2009,1,0,0,0,0,0
210,2008,0,0,0,0,0,0
211,2005,1,0,0,0,1,0
212,1997,1,0,0,0,1,1
213,1997,1,0,0,0,0,0
214,2006,0,0,0,0,0,1
215,2002,1,0,0,0,0,0
216,2018,1,0,1,0,0,1
217,2005,1,0,0,0,1,1
218,2004,0,0,0,0,0,0
219,2007,0,0,0,0,0,0
220,1995,1,0,0,0,1,0
221,2002,1,0,0,0,0,0
222,1996,0,0,0,0,0,0
223,2011,1,1,0,0,0,1
224,2011,1,0,0,0,0,0
225,1998,1,0,0,0,0,0
226,2002,1,0,0,1,0,1
227,2005,1,0,0,0,0,0
228,2005,0,0,0,0,0,0
229,2014,1,0,0,0,1,1
230,2013,1,0,0,0,0,1
231,2004,1,0,0,0,1,0
232,2014,1,0,0,0,0,1
233,2003,1,0,0,0,1,1
234,2003,1,0,0,0,1,1
235,1996,1,0,0,0,1,0
236,2011,1,0,0,0,0,1
237,1995,1,4,1,0,1,1
238,2019,1,0,0,0,0,1
239,2001,1,1,0,1,0,1
240,2016,1,0,0,0,0,1
241,2007,1,0,0,0,1,0
242,2019,1,1,0,0,0,1
243,2009,1,0,0,0,0,0
244,1998,1,0,0,0,1,0
245,2015,1,0,0,0,0,1
246,2002,1,0,0,0,0,0
247,1994,0,0,0,0,0,0
248,2016,1,0,0,0,0,0
249,2015,1,0,0,0,0,0
250,1999,1,0,0,0,1,1
251,2017,1,0,0,0,0,1
252,2005,1,0,0,0,0,0
253,2013,1,0,0,0,0,1
254,2005,1,0,0,0,1,0
255,2003,0,0,0,0,0,0
256,2014,1,0,0,0,0,0
257,2006,0,0,0,0,0,0
258,2014,1,0,0,0,0,1
259,2005,1,0,0,0,1,0
260,2014,1,0,0,0,0,0
261,2005,0,0,0,0,0,0
262,2009,1,0,0,0,0,1
263,2009,1,0,0,0,0,0
264,2007,1,0,0,0,0,1
265,2009,1,0,0,0,0,0
266,2017,1,0,0,0,0,1
267,2006,0,0,0,0,0,1
268,1995,1,0,0,0,0,0
269,2018,1,0,0,0,0,0
270,2002,0,0,0,0,0,0
271,2002,1,0,0,1,0,1
272,2009,1,0,0,1,0,0
273,2005,1,0,0,0,0,0
274,2009,1,0,0,0,0,1
275,1995,1,0,0,0,0,0
276,2005,1,0,0,0,1,0
277,2006,1,0,0,0,0,0
278,2013,1,0,0,0,1,0
279,2010,1,0,0,0,1,0
280,1999,1,0,0,0,1,0
281,1996,1,0,0,0,1,1
282,2007,0,0,0,0,0,0
283,2004,0,0,0,0,0,1
284,1998,1,0,0,0,1,1
285,2002,1,0,0,0,0,0
286,2018,1,0,0,0,0,0
287,2019,1,0,0,0,1,1
288,2003,1,0,0,0,1,0
289,2003,1,0,0,0,1,0
290,2013,1,0,0,0,0,1
291,2005,1,0,0,0,0,1
292,2014,1,0,0,0,0,1
293,2014,1,3,0,0,0,1
294,1994,1,0,0,0,0,0
295,2006,1,0,0,0,0,1
296,2006,1,0,0,0,0,1
297,2015,1,0,0,0,0,0
298,1994,1,0,0,0,1,1
299,2005,1,1,0,0,0,1
300,2018,1,0,0,0,0,1
301,1999,0,0,0,0,0,0
302,2008,1,0,0,0,0,1
303,2003,1,0,0,0,1,0
304,2007,1,0,1,1,0,1
305,2006,1,0,1,0,0,1
306,2017,1,0,0,0,0,1
307,2003,1,0,0,0,0,0
308,2013,1,0,0,0,0,1
309,2014,1,0,0,0,0,0
310,2017,3,1,0,0,0,1
311,1996,1,0,0,0,1,0
312,2018,1,0,0,0,0,1
313,1994,1,0,0,0,1,0
314,2005,1,0,0,0,0,0
315,2014,1,0,0,0,1,0
316,1999,1,0,0,0,1,1
317,2005,1,0,0,0,0,0
318,1996,1,0,0,0,1,1
319,2011,1,0,0,0,0,1
320,2018,1,0,1,1,0,1
321,1996,1,0,0,0,0,0
322,2017,1,0,0,0,0,1
323,2010,0,0,0,0,0,1
324,2013,1,0,0,0,0,1
325,2009,1,1,1,0,0,1
326,2005,1,4,0,0,0,1
327,2015,1,0,0,0,0,0
328,2007,0,0,0,0,0,1
329,1997,1,1,0,0,1,1
330,2017,1,0,0,0,0,1
331,2006,1,0,0,0,0,0
332,2017,1,0,0,0,0,0
333,2000,0,0,0,0,0,0
334,2010,0,0,0,0,0,0
335,1998,1,0,0,0,1,0
336,2016,1,0,0,0,0,1
337,1996,1,0,0,0,0,0
338,1998,1,0,0,0,1,0
339,2014,1,0,0,0,0,0
340,2018,1,0,0,0,0,1
341,2005,1,0,0,0,0,0
342,2007,0,0,0,0,0,1
343,2010,1,0,0,0,0,0
344,1994,1,0,0,0,0,0
345,2014,1,0,0,0,0,1
346,2005,1,0,0,1,0,1
347,2013,1,1,0,0,0,0
348,2004,1,0,0,0,0,1
349,2010,1,0,0,1,0,1
350,2012,1,0,0,0,0,0
351,2006,0,0,0,0,0,0
352,2009,1,0,0,0,0,0
353,2014,1,0,0,0,1,0
354,2007,1,0,1,0,0,1
355,2015,1,0,0,0,0,1
356,2015,1,0,0,0,0,1
357,2005,1,0,0,0,1,1
358,2016,1,0,0,0,0,0
359,2010,1,0,0,0,0,1
360,1998,1,0,0,1,0,0
361,2002,0,0,0,0,0,1
362,2005,1,0,0,0,0,1
363,2008,1,0,0,0,0,0
364,2013,1,0,0,0,0,0
365,2012,1,0,0,0,1,1
366,1999,1,0,0,1,0,1
367,2003,1,0,0,0,1,0
368,2011,1,0,0,0,0,0
369,2003,1,0,0,0,0,1
370,2001,1,0,0,0,0,0
371,2018,1,0,0,0,1,1
372,1997,1,0,0,0,1,1
373,2005,1,0,0,0,0,1
374,2006,1,0,0,0,1,0
375,1999,1,0,0,0,0,1
376,2016,1,0,1,0,1,1
377,2018,1,0,1,0,0,1
378,2017,1,0,0,0,0,1
379,2015,1,0,0,0,0,0
380,2013,1,0,0,1,0,0
381,2019,1,0,0,0,0,0
382,2014,1,0,0,0,0,1
383,2005,1,0,0,0,0,1
384,2015,1,0,2,0,1,1
385,2010,1,0,0,0,0,1
386,2000,1,0,0,0,0,0
387,2017,1,0,0,0,0,1
388,2011,1,0,0,1,0,1
389,2010,1,0,0,0,0,0
390,2013,1,0,0,0,1,1
391,2010,1,0,0,0,0,0
392,2001,1,0,0,0,1,1
393,2017,1,2,0,0,0,1
394,1996,1,0,0,0,0,0
395,1997,1,0,0,1,0,1
396,2001,1,0,0,0,0,1
397,2007,1,0,0,0,0,0
398,2018,1,0,0,0,0,0
399,2016,1,0,0,0,0,0
400,1996,1,0,0,0,0,0
401,2004,1,0,0,0,1,1
402,2007,1,0,0,0,1,0
403,2012,1,0,0,0,0,1
404,2012,1,0,0,0,1,0
405,2001,1,0,0,1,0,1
406,2017,1,0,0,0,1,1
407,2002,0,0,0,0,0,1
408,2017,1,0,0,0,0,1
409,2001,1,0,0,0,1,0
410,2006,1,0,0,0,1,0
411,2009,2,0,0,0,0,0
412,2010,1,0,0,0,0,1
413,2000,1,0,0,0,1,0
414,2016,1,0,0,0,1,1
415,2014,1,0,0,0,1,0
416,2000,1,0,0,1,0,1
417,2006,1,0,0,0,0,1
418,2017,1,0,0,0,1,1
419,2011,1,0,0,0,1,0
420,1994,1,0,0,0,0,0
421,2008,1,0,0,0,0,0
422,2019,1,0,0,0,0,1
423,2019,1,0,3,0,0,1
424,2017,1,0,0,0,0,1
425,2017,1,2,0,0,0,1
426,2013,1,0,0,0,0,1
427,2002,0,0,0,0,0,1
428,2011,1,0,0,0,1,0
429,2003,1,0,0,0,1,0
430,2010,1,0,0,0,1,0
431,2011,1,0,0,0,0,1
432,2013,1,0,0,0,1,0
433,1997,1,0,0,0,0,1
434,2007,1,0,0,0,0,0
435,1994,1,0,0,0,1,0
436,2014,1,0,0,0,0,1
437,2015,1,0,0,0,0,1
438,2014,1,0,0,0,1,0
439,2000,1,1,0,0,0,1
